ZIP	Estimate; Total:	Estimate; Male:	Estimate; Male: - 65 to 69 years:	Estimate; Male: - 70 to 74 years:	Estimate; Male: - 75 years and over:	Estimate; Female:	Estimate; Female: - 65 to 69 years:	Estimate; Female: - 70 to 74 years:	Estimate; Female: - 75 years and over:	 Male: Age: 65 and over	 Female: Age: 65 and over	 Overall People Age: 65 and over
90001	57702	28712	830	528	846	28990	1042	748	1066	2204	2856	5060
90002	51816	24237	699	546	539	27579	911	656	1113	1784	2680	4464
90003	103994	49282	1678	1024	1544	54712	1657	1270	2257	4246	5184	9430
90004	67407	33789	1258	859	1418	33618	1559	1186	1991	3535	4736	8271
90005	66270	32796	1276	1086	1273	33474	1669	1336	2215	3635	5220	8855
90006	79185	40868	1565	1217	1112	38317	1691	1320	2265	3894	5276	9170
90007	69546	33863	839	490	881	35683	1067	632	1785	2210	3484	5694
90008	43573	18880	917	759	1691	24693	1517	1266	2654	3367	5437	8804
90009	0	0	0	0	0	0	0	0	0	0	0	0
90010	42779	20710	819	580	886	22069	1015	912	1378	2285	3305	5590
90011	88324	44319	926	578	1016	44005	1215	767	1643	2520	3625	6145
90012	48963	28618	1043	602	1430	20345	1098	673	2246	3075	4017	7092
90013	25529	15275	753	296	925	10254	426	315	1414	1974	2155	4129
90014	18366	11692	547	187	389	6674	191	197	369	1123	757	1880
90015	40864	21651	693	502	814	19213	745	463	1541	2009	2749	4758
90016	77134	35975	1408	974	1871	41159	2200	1675	3197	4253	7072	11325
90017	39453	20854	485	407	711	18599	519	687	1440	1603	2646	4249
90018	71674	33737	1389	918	1446	37937	1655	1273	2981	3753	5909	9662
90019	80277	39432	1817	1103	1755	40845	1929	1586	2894	4675	6409	11084
90020	66599	32640	1247	595	1453	33959	1468	1105	2051	3295	4624	7919
90021	11306	7451	444	98	257	3855	146	8	129	799	283	1082
90022	75633	36560	1249	1051	2269	39073	1854	1682	3264	4569	6800	11369
90023	56982	29011	945	755	1257	27971	1252	786	1675	2957	3713	6670
90024	52565	25281	654	691	1570	27284	930	545	2229	2915	3704	6619
90025	69980	34049	1489	1038	2019	35931	1868	1457	2977	4546	6302	10848
90026	82143	41335	1619	1143	1787	40808	1826	1408	2868	4549	6102	10651
90027	62143	30910	1431	1084	1596	31233	1639	1258	2706	4111	5603	9714
90028	62188	33878	920	654	1330	28310	1276	1010	1905	2904	4191	7095
90029	72575	36885	1604	1053	1420	35690	1697	1186	2761	4077	5644	9721
90030	1827	821	95	26	54	1006	131	15	135	175	281	456
90031	47700	23737	1094	697	1234	23963	1176	821	2251	3025	4248	7273
90032	62439	30365	1270	989	1454	32074	1863	1089	2876	3713	5828	9541
90033	47381	23253	784	559	1253	24128	814	771	2016	2596	3601	6197
90034	65978	32965	1123	956	1444	33013	1650	1009	1983	3523	4642	8165
90035	42231	19762	1104	662	1348	22469	1268	1008	2342	3114	4618	7732
90036	58883	28267	992	712	1773	30616	1292	1080	2746	3477	5118	8595
90037	72434	35263	819	587	1042	37171	995	768	1813	2448	3576	6024
90038	48310	25058	712	643	1184	23252	1074	1156	1736	2539	3966	6505
90039	39250	19948	1039	681	1246	19302	1056	711	1495	2966	3262	6228
90040	40428	20186	621	602	791	20242	826	729	1185	2014	2740	4754
90041	34962	16615	880	807	1267	18347	1029	892	2057	2954	3978	6932
90042	73806	35234	1861	1025	1902	38572	2020	1378	3045	4788	6443	11231
90043	40581	18465	825	663	1207	22116	1482	981	2145	2695	4608	7303
90044	100528	45999	1807	1142	2145	54529	2268	1836	3520	5094	7624	12718
90045	66046	30840	1426	852	1814	35206	1778	1018	2972	4092	5768	9860
90046	77656	41808	1804	1152	2350	35848	1609	1219	3407	5306	6235	11541
90047	72338	32789	1500	1111	2182	39549	2148	1919	3414	4793	7481	12274
90048	32182	15618	643	341	907	16564	787	615	1466	1891	2868	4759
90049	51325	24052	1882	1405	2811	27273	2060	1477	3075	6098	6612	12710
90050	2855	1261	75	37	66	1594	72	75	140	178	287	465
90051	1827	821	95	26	54	1006	131	15	135	175	281	456
90052	2255	1149	0	14	25	1106	35	34	40	39	109	148
90053	991	895	22	12	13	96	12	1	8	47	21	68
90054	1827	821	95	26	54	1006	131	15	135	175	281	456
90055	2996	1638	7	18	123	1358	17	95	153	148	265	413
90056	30876	13784	609	455	1035	17092	1127	634	1917	2099	3678	5777
90057	54413	28787	915	805	1043	25626	1027	941	2087	2763	4055	6818
90058	28745	14745	435	258	274	14000	352	318	581	967	1251	2218
90059	61988	28078	887	589	896	33910	1192	835	1410	2372	3437	5809
90060	1827	821	95	26	54	1006	131	15	135	175	281	456
90061	53688	24535	862	582	1123	29153	1106	968	1802	2567	3876	6443
90062	49016	23319	728	687	1231	25697	1154	1005	2047	2646	4206	6852
90063	65433	32099	1370	846	1476	33334	1556	1108	2193	3692	4857	8549
90064	52705	24896	1299	908	1696	27809	1277	1312	2529	3903	5118	9021
90065	56205	27992	1192	795	1878	28213	1549	1268	2439	3865	5256	9121
90066	77893	38849	1761	1359	2116	39044	2354	1378	2710	5236	6442	11678
90067	12268	5619	380	241	733	6649	389	367	1035	1354	1791	3145
90068	28253	15480	569	457	847	12773	653	388	995	1873	2036	3909
90069	27991	16686	688	494	793	11305	477	363	903	1975	1743	3718
90070	2307	1019	17	47	46	1288	55	36	77	110	168	278
90071	5473	2834	110	60	446	2639	118	162	799	616	1079	1695
90072	3492	1741	73	47	14	1751	164	26	41	134	231	365
90073	948	786	23	22	76	162	16	4	29	121	49	170
90074	2996	1638	7	18	123	1358	17	95	153	148	265	413
90075	3670	1725	45	40	146	1945	57	86	53	231	196	427
90076	3670	1725	45	40	146	1945	57	86	53	231	196	427
90077	26877	12473	494	528	1220	14404	736	511	1442	2242	2689	4931
90078	3171	1734	34	20	138	1437	53	61	117	192	231	423
90079	4049	1947	0	65	98	2102	27	29	158	163	214	377
90081	2996	1638	7	18	123	1358	17	95	153	148	265	413
90082	4085	2098	99	12	9	1987	20	30	111	120	161	281
