ZIP	Estimate; Total:	Estimate; Male:	Estimate; Male: - 65 to 69 years:	Estimate; Male: - 70 to 74 years:	Estimate; Male: - 75 years and over:	Estimate; Female:	Estimate; Female: - 65 to 69 years:	Estimate; Female: - 70 to 74 years:	Estimate; Female: - 75 years and over:	 Male: Age: 65 and over	 Female: Age: 65 and over	 Overall People Age: 65 and over
90620	64149	31496	1680	1169	1755	32653	1950	1333	2542	4604	5825	10429
90621	38973	19232	828	564	840	19741	851	492	1133	2232	2476	4708
90622	3987	2061	63	125	162	1926	71	84	137	350	292	642
90623	26584	12861	735	699	695	13723	973	606	1203	2129	2782	4911
90630	61796	29927	1534	940	2313	31869	1985	1380	3062	4787	6427	11214
90631	67832	32474	1317	1231	2449	35358	1693	1700	3754	4997	7147	12144
90632	2988	1412	75	54	260	1576	108	192	219	389	519	908
90633	3111	1579	20	104	88	1532	38	13	96	212	147	359
90638	12929	6566	330	244	437	6363	167	279	396	1011	842	1853
90680	42099	20464	822	757	865	21635	1166	683	1677	2444	3526	5970
90720	25436	12128	668	515	1189	13308	833	543	1519	2372	2895	5267
90721	2393	1202	37	65	105	1191	56	64	197	207	317	524
90740	30080	13780	1117	1016	2458	16300	1233	1202	4156	4591	6591	11182
90742	915	495	59	47	72	420	56	21	30	178	107	285
90743	915	495	59	47	72	420	56	21	30	178	107	285
90808	2393	1202	37	65	105	1191	56	64	197	207	317	524
92602	37740	17884	907	377	401	19856	947	419	949	1685	2315	4000
92603	20863	9982	777	482	534	10881	858	352	685	1793	1895	3688
92604	38068	18096	859	825	1164	19972	1291	1087	1996	2848	4374	7222
92605	2974	1455	129	72	119	1519	68	85	167	320	320	640
92606	32069	15061	326	458	397	17008	595	670	843	1181	2108	3289
92607	2744	1361	169	86	86	1383	132	46	67	341	245	586
92609	4110	2221	46	56	119	1889	101	133	152	221	386	607
92610	15271	7202	337	130	124	8069	298	154	198	591	650	1241
92612	29220	14907	473	478	793	14313	805	591	1191	1744	2587	4331
92614	35248	16552	449	605	606	18696	911	665	1058	1660	2634	4294
92615	3115	1423	138	61	85	1692	161	75	177	284	413	697
92616	3290	1352	15	27	197	1938	108	58	450	239	616	855
92617	15613	7105	65	38	98	8508	51	31	50	201	132	333
92618	54739	27363	1164	663	1247	27376	1310	762	1620	3074	3692	6766
92619	4033	2348	73	8	17	1685	6	9	9	98	24	122
92620	61390	29055	1424	678	1092	32335	1553	755	1791	3194	4099	7293
92623	13264	6365	61	217	106	6899	277	161	398	384	836	1220
92624	13041	6468	586	380	617	6573	457	207	1067	1583	1731	3314
92625	26761	12975	1169	894	1134	13786	989	847	1382	3197	3218	6415
92626	59342	30805	936	719	1186	28537	1172	764	1911	2841	3847	6688
92627	67454	33766	1233	922	1356	33688	1502	1153	2092	3511	4747	8258
92628	2208	1025	31	40	106	1183	61	21	227	177	309	486
92629	35548	16576	1353	903	1427	18972	1208	776	2247	3683	4231	7914
92630	58341	28657	1423	903	1348	29684	1734	987	1950	3674	4671	8345
92637	34130	14464	1104	1187	3336	19666	1830	1894	5923	5627	9647	15274
92646	51110	24211	1583	1129	1747	26899	2022	1438	2689	4459	6149	10608
92647	66456	32813	1309	1350	1997	33643	1720	1499	2871	4656	6090	10746
92648	71563	36076	1883	1331	1961	35487	2635	1471	2918	5175	7024	12199
92649	44723	22070	1600	1197	1805	22653	1614	1237	2259	4602	5110	9712
92650	11890	5838	166	73	133	6052	184	38	171	372	393	765
92651	34598	16604	1612	1157	1482	17994	1673	1095	1950	4251	4718	8969
92652	2752	1386	123	48	108	1366	113	41	123	279	277	556
92653	43240	19111	1439	1121	2735	24129	1906	1707	4774	5295	8387	13682
92654	3902	1585	185	91	333	2317	154	303	695	609	1152	1761
92655	16628	8521	414	408	513	8107	515	404	712	1335	1631	2966
92656	48318	22688	1051	652	924	25630	1558	645	1442	2627	3645	6272
92657	11257	5585	681	437	312	5672	539	316	329	1430	1184	2614
92658	5258	2537	146	178	369	2721	158	218	424	693	800	1493
92659	3830	1781	132	74	134	2049	149	118	238	340	505	845
92660	55228	27769	1710	1366	1928	27459	2017	1229	2361	5004	5607	10611
92661	8867	4565	445	286	515	4302	471	142	584	1246	1197	2443
92662	2655	1162	69	155	154	1493	155	115	207	378	477	855
92663	33300	17066	1134	631	1267	16234	1022	811	1760	3032	3593	6625
92672	34284	17307	1219	800	1171	16977	1044	755	1870	3190	3669	6859
92673	33035	16464	1295	842	1396	16571	1114	508	1284	3533	2906	6439
92674	3631	1783	134	117	262	1848	144	147	254	513	545	1058
92675	65256	31998	1982	1285	2633	33258	2069	1280	3373	5900	6722	12622
92676	25170	12413	491	272	161	12757	466	294	343	924	1103	2027
92677	62059	29273	1781	1287	1857	32786	2357	1305	2182	4925	5844	10769
92678	851	474	15	7	23	377	44	22	19	45	85	130
92679	40610	19811	871	524	569	20799	908	697	822	1964	2427	4391
92683	102392	50771	2383	2143	3831	51621	3000	2367	5011	8357	10378	18735
92684	5389	2639	142	94	148	2750	152	72	222	384	446	830
92685	5443	2641	68	126	298	2802	142	162	257	492	561	1053
92688	47841	23209	808	532	869	24632	865	783	1632	2209	3280	5489
92690	5240	2545	81	42	131	2695	210	72	148	254	430	684
92691	56522	27920	1547	1180	1846	28602	1863	1406	2772	4573	6041	10614
92692	79096	38348	2111	1406	2585	40748	2631	1807	3810	6102	8248	14350
92693	5034	2272	192	61	283	2762	237	85	453	536	775	1311
92694	22412	10913	392	196	141	11499	278	224	278	729	780	1509
92697	15613	7105	65	38	98	8508	51	31	50	201	132	333
92698	7375	4318	33	83	80	3057	135	120	177	196	432	628
92701	69496	34243	983	506	1071	35253	1184	793	1446	2560	3423	5983
92702	5557	2565	115	14	192	2992	49	127	262	321	438	759
92703	111558	55797	1983	1283	2402	55761	2297	1745	2781	5668	6823	12491
92704	101322	51177	1567	1234	1908	50145	2042	1551	2476	4709	6069	10778
92705	102830	49724	2181	1899	2756	53106	2927	2067	4405	6836	9399	16235
92706	63626	31466	1119	760	1082	32160	1208	1023	1940	2961	4171	7132
92707	83596	43208	940	819	1072	40388	1256	1067	1584	2831	3907	6738
92708	65253	32113	1838	1466	2796	33140	2286	1774	3217	6100	7277	13377
92711	6122	2979	136	64	54	3143	157	101	260	254	518	772
92728	5414	2701	173	106	392	2713	172	201	303	671	676	1347
92735	3691	1821	47	0	34	1870	43	0	0	81	43	124
92780	71542	34583	1131	939	1729	36959	1422	1179	2962	3799	5563	9362
92781	2958	1359	67	66	77	1599	93	54	126	210	273	483
92782	33459	16379	527	471	553	17080	744	577	1007	1551	2328	3879
92799	4898	2378	64	48	21	2520	61	59	94	133	214	347
92801	111417	54060	2247	1346	2630	57357	2404	2204	3970	6223	8578	14801
92802	66012	33961	1078	733	1613	32051	1301	1230	2662	3424	5193	8617
92803	4862	2359	48	79	65	2503	147	77	157	192	381	573
92804	115482	55964	2629	1754	2702	59518	3015	2290	4267	7085	9572	16657
92805	73996	38242	1253	722	1279	35754	1473	942	1701	3254	4116	7370
92806	72047	36746	1423	875	1629	35301	1522	1026	2241	3927	4789	8716
92807	58040	27741	1490	1134	1608	30299	1676	1256	2347	4232	5279	9511
92808	20651	10001	523	252	441	10650	591	320	791	1216	1702	2918
92809	3233	1622	83	88	101	1611	148	68	75	272	291	563
92811	5322	2363	47	120	54	2959	66	90	100	221	256	477
92812	4128	1878	63	80	180	2250	106	80	502	323	688	1011
92814	4445	2178	135	75	201	2267	240	53	94	411	387	798
92815	3716	1663	55	66	91	2053	130	89	200	212	419	631
